packet_id,snr_db,tx_time,rx_time,hops_used
1,12.25,1781082408.244956,1781082646.457916,0
2,12.25,1781082409.351846,1781082646.48085,0
3,12.5,1781082410.4558778,1781082646.504213,0
4,13.75,1781082411.561322,1781082646.526591,0
5,12.25,1781082412.666384,1781082646.551775,0
6,12.75,1781082413.76882,1781082646.5777652,0
7,12.5,1781082414.873409,1781082646.597862,0
8,13.0,1781082415.980394,1781082646.619089,0
1,12.75,1781082434.446413,1781082646.6610718,0
2,13.0,1781082435.548913,1781082646.6822379,0
3,12.75,1781082436.653945,1781082646.7033322,0
1,0.5,1781083991.535659,1781083992.337326,0
2,1.0,1781083992.642359,1781083993.373031,0
3,-0.75,1781083993.753591,1781083994.5149288,0
4,-3.0,1781083994.860687,1781083995.6400902,0
5,0.25,1781083995.9722939,1781083996.7019498,0
6,10.25,1781083997.084233,1781083997.904122,1
7,10.75,1781083998.19582,1781083999.080308,1
8,10.0,1781083999.299339,1781084000.72489,1
9,0.25,1781084000.401012,1781084001.1525729,0
10,10.0,1781084001.5125492,1781084002.379977,1
11,-3.0,1781084002.624176,1781084003.385103,0
12,-4.25,1781084003.731762,1781084004.486492,0
13,10.25,1781084004.842586,1781084005.744708,1
14,10.25,1781084005.947011,1781084006.895485,1
15,10.5,1781084007.05354,1781084007.943655,1
16,10.25,1781084008.162411,1781084009.015105,1
17,-2.75,1781084009.273519,1781084010.0903502,0
18,-2.0,1781084010.3852868,1781084011.122041,0
19,-1.5,1781084011.496823,1781084012.240005,0
20,2.25,1781084012.604964,1781084013.343789,0
21,1.25,1781084013.716467,1781084014.458499,0
22,2.5,1781084014.823515,1781084015.551448,0
23,3.25,1781084015.931713,1781084016.66593,0
24,2.75,1781084017.038786,1781084017.856735,0
25,2.25,1781084018.150317,1781084018.915463,0
26,3.0,1781084019.260501,1781084020.028247,0
27,5.0,1781084020.370993,1781084021.08599,0
28,5.5,1781084021.482144,1781084022.24596,0
29,1.5,1781084022.588704,1781084023.3320892,0
30,1.75,1781084023.690776,1781084024.4283478,0
32,0.25,1781084025.9127932,1781084026.6733959,0
33,-1.5,1781084027.024319,1781084027.77398,0
34,1.0,1781084028.136003,1781084028.8890162,0
35,0.25,1781084029.242044,1781084030.316119,0
37,-1.75,1781084031.465106,1781084032.216782,0
38,-0.75,1781084032.57283,1781084033.323794,0
